06:45;07:45;09:45;11:00;12:45;14:45;17:30;18:45
Vindilis;Bangor;Vindilis;Bangor;Vindilis;Bangor;Vindilis;Bangor;
06:30;07:45;09:45;11:00;12:45;14:15;15:45;17:15;18:40
Vindilis;Bangor;Vindilis;Bangor;Vindilis;Bangor;Vindilis;Bangor;Vindilis;
06:30;07:45;09:45;12:45;16:00;18:00
Bangor;Vindilis;Bangor;Bangor;Bangor;Île de Groix;
06:00;07:45;09:00;12:00;16:45;18:00
Bangor;Île de Groix;Bangor;Bangor;Bangor;Île de Groix;
06:30;07:45;10:30;13:30;17:30;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;
06:00;07:00;09:00;13:15;16:15n;18:30
Bangor;Île de Groix;Bangor;Bangor;Bangor;Île de Groix;
06:30;07:45;09:45;14:00;16:45;18:45
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;
07:00;08:00;09:45;12:45;15:45;17:45
Bangor;Île de Groix;Bangor;Bangor;Bangor;Île de Groix;
07:15;09:45;12:45;14:45;15:45;18:00
Bangor;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;15:45;18:00
Bangor;Île de Groix;Bangor;Bangor;Bangor;Île de Groix;
07:00;09:45;12:45;14:45;15:45;18:00
Bangor;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;14:45;15:45;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;14:45;15:45;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;15:45;17:45;18:45
Bangor;Île de Groix;Bangor;Bangor;Bangor;Île de Groix;Bangor;
06:30;07:45;09:45;12:45;15:45;18:00
Bangor;Île de Groix;Bangor;Bangor;Bangor;Île de Groix;
07:00;09:45;12:45;14:45;15:45;18:00
Bangor;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;14:45;15:45;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;14:45;15:45;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;14:45;15:45;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;14:45;15:45;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;15:45;17:45;18:45
Bangor;Île de Groix;Bangor;Bangor;Bangor;Île de Groix;Bangor;
06:30;07:45;09:45;12:45;15:45;18:00
Bangor;Île de Groix;Bangor;Bangor;Bangor;Île de Groix;
07:00;09:45;12:45;14:45;15:45;18:00
Bangor;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;14:45;15:45;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;14:45;15:45;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;14:45;15:45;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;14:45;15:45;18:30
Bangor;Île de Groix;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
06:30;07:45;09:45;12:45;15:45;17:45;18:45
Bangor;Île de Groix;Bangor;Bangor;Bangor;Île de Groix;Bangor;
06:30;07:45;09:45;12:45;15:45;18:00
Bangor;Île de Groix;Bangor;Bangor;Bangor;Île de Groix;
07:00;09:45;12:45;14:45;15:45;18:00
Bangor;Bangor;Bangor;Île de Groix;Bangor;Île de Groix;
